W,off_mtxn_s,on_mtxn_s,cpu_mtxn_s,recovery_overhead_pct,on_x_cpu,n_reps_on,off_min,off_max,on_min,on_max,cpu_min,cpu_max
4,5.518596289847715,4.938637429933081,5.788242920978908,10.509173519026122,0.8532187569449589,3,5.439,5.552,4.931,4.962,5.608,5.894
8,7.2747906678985315,6.35467338567466,5.937114087584307,12.648024173177555,1.0703303476959543,3,7.232,7.321,6.268,6.454,5.743,6.008
16,8.781173164734808,7.304201742052117,5.899235164160966,16.819750561510492,1.2381608020013517,3,8.675,8.86,7.238,7.358,5.72,5.918
32,9.236979323021787,7.539232279976931,6.055889807029072,18.37989437535576,1.2449421175441706,3,9.174,9.391,7.514,7.7,6.01,6.15
64,8.836966799515734,7.309647638435589,6.183087401031957,17.28329635869903,1.1822002770356455,3,8.76,8.866,7.253,7.387,5.567,6.338
128,8.52562162438669,6.990098525438715,6.077401789187086,18.01068786064541,1.150178771769788,3,8.512,8.658,6.946,7.014,5.953,6.128
