workload,mode,index_transfer,indexing,submission,stage,initialization,execution,writeback,total_ms
tpccdeck,async,1061.920634920635,817.6031746031746,794.7142857142858,3169.714285714286,732.9206349206349,2868.222222222222,1797.2222222222222,11.24
tpccdeck,sync,505.25396825396825,778.6666666666667,753.7301587301587,2945.9206349206347,740.1587301587301,2867.936507936508,17059.4126984127,25.65
ycsbf,async,837.1397849462365,393.38709677419354,189.01075268817203,5779.569892473119,615.247311827957,1657.7956989247311,2358.1397849462364,11.83
ycsbf,sync,265.9462365591398,320.8817204301075,187.54838709677418,5240.623655913979,602.3870967741935,1631.6666666666667,4257.397849462366,12.51
ycsbb,async,645.4408602150538,338.98924731182797,123.6989247311828,5082.967741935484,638.2795698924731,1561.7956989247311,666.516129032258,9.06
ycsbb,sync,263.73118279569894,330.10752688172045,118.18279569892474,4976.8279569892475,547.5698924731182,1557.3225806451612,636.258064516129,8.43
